Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
KG.000743,L,10/12/1970,37800000,36,L,4,KONVEN
KG.000441,L,28/08/1983,108900000,60,L,3,KONVEN
KG.000505,P,10/02/1974,71900000,60,L,4,KONVEN
KG.000878,L,30/10/1978,50500000,60,PK,1,KONVEN
KG.000800,L,07/06/1969,22000000,17,PK,1,KONVEN
KG.000913,P,01/07/1978,14500000,34,PK,1,KONVEN
KG.000845,L,16/05/1983,78000000,30,PK,1,KONVEN
KG.000891,L,17/08/1985,13000000,18,PK,1,KONVEN
KG.000873,P,16/05/1972,8300000,12,PK,1,KONVEN
KG.000879,P,04/04/1969,23400000,17,PK,1,KONVEN
KG.000848,L,07/02/1983,181300000,60,PK,1,KONVEN
KG.000733,L,23/07/1989,117700000,60,L,3,KONVEN
KG.000807,L,17/12/1976,125800000,60,PK,1,KONVEN
KG.000632,L,10/08/1955,56200000,15,PK,1,KONVEN
KG.000712,L,03/06/1983,55900000,60,PK,1,KONVEN
KG.000820,L,01/07/1965,43900000,60,PK,1,KONVEN
KG.000374,P,17/12/1989,15700000,43,PK,1,KONVEN
KG.000744,P,01/08/1976,35200000,60,L,1,KONVEN
KG.000592,L,27/07/1973,62800000,60,L,2,KONVEN
KG.000748,L,12/03/1974,103000000,60,L,1,KONVEN
KG.000860,L,03/02/1981,100000000,31,L,1,KONVEN
KG.000757,L,17/03/1971,44000000,60,L,1,KONVEN
KG.000679,P,05/03/1991,38500000,57,L,1,KONVEN
KG.000843,L,31/12/1966,4000000,6,L,1,KONVEN
KG.000719,L,01/12/1957,85700000,60,L,1,KONVEN
KG.000874,L,03/01/1993,106000000,41,L,1,KONVEN
QX.000324,L,16/01/1987,40000000,36,M,17,KONVEN
QX.000364,L,05/03/1960,50000000,36,M,16,KONVEN
QX.000410,P,07/08/1971,35000000,24,PK,19,KONVEN
QX.000417,P,23/08/1974,40000000,36,M,36,KONVEN
QX.000266,P,14/01/1980,100000000,36,M,33,KONVEN
QX.000122,P,10/12/1962,75000000,36,M,31,KONVEN
QX.000315,P,26/04/1974,51000000,36,M,13,KONVEN
QX.000350,L,15/06/1970,60000000,36,M,12,KONVEN
QX.000355,L,07/01/1965,60000000,36,M,14,KONVEN
QX.000366,P,25/10/1972,80000000,36,M,9,KONVEN
QX.000385,P,17/08/1979,51000000,36,M,13,KONVEN
QX.000406,L,12/08/1971,51000000,36,PK,14,KONVEN
QX.000062,L,07/04/1961,300000000,48,M,4,KONVEN
QX.000273,L,06/06/1967,400000000,60,M,12,KONVEN
QX.000438,P,31/12/1962,80000000,36,M,31,KONVEN
QX.000296,P,23/07/1993,33000000,50,PK,1,KONVEN
QX.000392,L,17/04/1974,74600000,35,L,1,KONVEN
QX.000428,P,22/03/1996,43500000,37,L,28,KONVEN
QX.000184,L,05/10/1976,13900000,60,PK,22,KONVEN
QX.000305,P,04/07/1967,32700000,60,L,22,KONVEN
QX.000290,L,02/04/1988,72800000,52,L,15,KONVEN
QX.000328,P,10/07/1960,74000000,60,PK,9,KONVEN
QX.000276,P,31/12/1964,227000000,60,L,10,KONVEN
QX.000348,L,13/11/1981,195700000,50,L,8,KONVEN
QX.000287,P,16/05/1975,137200000,50,L,8,KONVEN
QX.000423,L,07/08/1991,28100000,20,PK,4,KONVEN
QX.000431,P,10/11/1988,41000000,19,L,5,KONVEN
QX.000407,P,02/05/1994,29800000,26,L,6,KONVEN
QX.000408,L,28/08/1987,23300000,26,L,6,KONVEN
QX.000368,P,10/10/1967,40000000,19,L,6,KONVEN
QX.000418,P,03/08/1983,27000000,24,PK,4,KONVEN
QX.000370,P,27/12/1974,19000000,21,L,6,KONVEN
QX.000413,P,15/02/1975,119000000,36,L,6,KONVEN
QX.000310,L,05/12/1982,18400000,17,L,6,KONVEN
QX.000398,P,08/11/1981,33300000,23,L,6,KONVEN
QX.000422,P,07/05/1977,37600000,28,L,6,KONVEN
QX.000383,P,16/02/1985,216800000,39,L,6,KONVEN
QX.000416,L,09/09/1965,164500000,36,L,6,KONVEN
QX.000387,P,26/09/1975,156200000,36,L,6,KONVEN
QX.000382,L,04/03/1970,118200000,31,L,4,KONVEN
QX.000421,P,19/09/1990,199000000,54,L,5,KONVEN
QX.000388,P,21/06/1985,59000000,23,L,5,KONVEN
QX.000327,L,19/09/1972,65500000,30,L,5,KONVEN
QX.000434,P,01/07/1981,46800000,33,L,5,KONVEN
QX.000203,P,05/06/1968,81500000,60,L,5,KONVEN
QX.000183,L,31/12/1968,66100000,60,L,4,KONVEN
QX.000316,P,11/09/1980,18000000,20,PK,2,KONVEN
QX.000435,P,29/12/1962,39500000,33,PK,1,KONVEN
QX.000411,L,03/10/1973,76500000,31,L,4,KONVEN
QX.000356,L,15/07/1973,30500000,25,PK,1,KONVEN
QX.000433,L,06/06/1976,76500000,23,PK,1,KONVEN
QX.000354,P,11/06/1963,34500000,23,L,4,KONVEN
QX.000389,L,15/07/1961,14600000,26,PK,1,KONVEN
QX.000192,P,03/07/1983,29800000,45,PK,1,KONVEN
QX.000207,L,17/04/1964,78800000,60,PK,1,KONVEN
QX.000275,P,05/07/1987,30400000,50,PK,1,KONVEN
QX.000277,P,20/03/1987,69700000,38,L,1,KONVEN
QX.000412,L,12/12/1959,34400000,19,L,1,KONVEN
QX.000341,L,31/12/1979,129800000,60,L,2,KONVEN
QX.000191,L,17/01/1961,59000000,60,L,1,KONVEN
QX.000202,L,11/08/1973,72000000,60,L,1,KONVEN
QX.000323,L,06/05/1993,30300000,19,L,1,KONVEN
QX.000395,L,08/05/1979,31300000,29,L,1,KONVEN
QX.000399,P,17/06/1986,72500000,23,L,1,KONVEN
QX.000403,L,14/10/1991,42300000,34,L,1,KONVEN
RD.000306,L,01/01/1970,25000000,18,L,6,KONVEN
RD.000325,P,30/05/1983,15000000,24,M,21,KONVEN
RD.000499,P,01/07/1978,15000000,24,M,22,KONVEN
RD.000511,L,19/09/1989,25000000,18,M,17,KONVEN
RD.000302,L,02/07/1972,35000000,36,M,27,KONVEN
RD.000419,L,22/04/1973,51000000,36,M,33,KONVEN
RD.000430,L,24/12/1979,51000000,36,M,31,KONVEN
RD.000522,P,01/07/1972,60000000,36,M,15,KONVEN
RD.000351,P,08/08/1981,152000000,60,M,1,KONVEN
RD.000512,L,06/09/1972,175000000,48,M,17,KONVEN
RD.000523,L,28/12/1994,215000000,48,M,14,KONVEN
RD.000603,P,05/07/1977,101000000,48,PK,44,KONVEN
RD.000453,P,27/11/1981,72000000,43,L,34,KONVEN
RD.000184,L,09/07/1973,74000000,60,PK,29,KONVEN
RD.000612,P,06/03/1989,47500000,37,L,9,KONVEN
RD.000538,L,11/10/1993,30300000,29,PK,26,KONVEN
RD.000577,P,17/06/1992,33000000,31,L,29,KONVEN
RD.000572,P,09/09/1987,44900000,42,PK,27,KONVEN
RD.000618,L,01/07/1965,44800000,36,L,29,KONVEN
RD.000473,P,01/07/1982,79700000,43,PK,26,KONVEN
RD.000487,L,25/05/1986,71300000,42,L,20,KONVEN
RD.000527,P,03/09/1980,73000000,41,L,18,KONVEN
RD.000221,P,03/04/1973,74800000,48,L,16,KONVEN
RD.000592,L,24/04/1989,22500000,20,L,10,KONVEN
RD.000472,L,28/02/1959,208500000,28,PK,6,KONVEN
RD.000654,L,31/12/1966,17600000,12,L,8,KONVEN
RD.000384,P,29/09/1969,66600000,23,L,8,KONVEN
RD.000411,L,01/07/1978,21200000,15,L,7,KONVEN
RD.000548,L,08/08/1973,30700000,25,L,6,KONVEN
RD.000410,P,01/07/1983,81300000,15,L,6,KONVEN
RD.000382,P,16/07/1968,79800000,17,L,6,KONVEN
RD.000643,P,01/01/1997,29700000,18,L,6,KONVEN
RD.000104,L,20/11/1981,21400000,25,L,6,KONVEN
RD.000491,P,31/08/1979,147700000,43,PK,3,KONVEN
RD.000642,P,01/07/1961,33600000,38,PK,3,KONVEN
RD.000432,P,01/07/1980,80000000,24,L,6,KONVEN
RD.000518,P,03/07/1988,76500000,32,L,5,KONVEN
RD.000582,L,14/09/1971,78000000,34,L,6,KONVEN
RD.000593,P,01/07/1981,26100000,28,PK,3,KONVEN
RD.000520,P,15/07/1980,48500000,24,L,5,KONVEN
RD.000561,L,08/04/1960,334500000,45,L,6,KONVEN
RD.000533,L,08/08/1986,24000000,18,L,5,KONVEN
RD.000442,P,07/07/1974,37000000,22,L,5,KONVEN
RD.000535,L,01/07/1977,54500000,34,L,5,KONVEN
RD.000553,L,01/02/1972,9800000,12,PK,3,KONVEN
RD.000525,P,01/07/1972,21400000,19,L,5,KONVEN
RD.000587,L,09/08/1993,7200000,8,L,4,KONVEN
RD.000467,L,16/08/1983,60900000,35,L,4,KONVEN
RD.000119,P,12/12/1978,217500000,60,L,4,KONVEN
RD.000446,L,30/06/1972,97600000,43,L,3,KONVEN
RD.000505,L,01/07/1971,7250000,11,L,1,KONVEN
RD.000493,P,22/03/1986,11200000,7,L,2,KONVEN
RD.000653,L,28/09/1994,50800000,29,L,1,KONVEN
RD.000575,L,01/07/1976,8500000,10,L,1,KONVEN
RD.000652,L,05/01/1984,9900000,10,L,1,KONVEN
RD.000611,P,17/07/1997,21500000,28,L,1,KONVEN
RD.000655,P,05/07/1983,15000000,24,L,5,KONVEN
UL.000352,L,12/05/1987,20000000,24,M,19,KONVEN
UL.000405,L,25/05/1975,20000000,24,M,13,KONVEN
UL.000413,L,14/10/1975,50000000,36,M,4,KONVEN
UL.000457,P,07/05/1999,30000000,36,M,5,KONVEN
UL.000280,L,12/03/1972,51000000,36,M,34,KONVEN
UL.000281,P,01/07/1966,100000000,36,M,32,KONVEN
UL.000258,P,13/11/1985,75000000,36,M,18,KONVEN
UL.000383,P,30/12/1969,51000000,36,M,12,KONVEN
UL.000435,P,01/12/1967,75000000,36,M,8,KONVEN
UL.000472,L,01/07/1974,150000000,48,L,42,KONVEN
UL.000271,P,02/10/1981,50000000,60,PK,41,KONVEN
UL.000276,L,05/06/1977,160000000,60,PK,1,KONVEN
UL.000389,P,03/05/1966,17400000,28,PK,25,KONVEN
UL.000390,L,21/03/1962,78400000,34,L,4,KONVEN
UL.000376,L,07/02/1982,34500000,20,L,16,KONVEN
UL.000394,L,15/04/1964,38000000,16,PK,13,KONVEN
UL.000063,L,27/02/1979,23300000,33,L,9,KONVEN
UL.000420,L,28/11/1977,36000000,15,L,8,KONVEN
UL.000453,L,23/09/1978,70600000,24,L,7,KONVEN
UL.000337,L,03/02/1972,64300000,48,PK,6,KONVEN
UL.000253,L,31/12/1974,22200000,34,L,7,KONVEN
UL.000109,P,11/02/1984,136100000,35,L,8,KONVEN
UL.000306,L,24/09/1978,83000000,35,L,8,KONVEN
UL.000044,P,28/11/1984,6300000,13,L,7,KONVEN
UL.000292,P,09/10/1971,44800000,28,PK,5,KONVEN
UL.000429,L,19/06/1995,99100000,36,L,6,KONVEN
UL.000395,L,03/08/1974,29000000,18,L,6,KONVEN
UL.000291,L,08/03/1973,135800000,29,L,6,KONVEN
UL.000361,P,20/03/1980,90900000,52,L,5,KONVEN
UL.000406,P,04/09/1985,15000000,22,L,6,KONVEN
UL.000465,L,05/10/1982,43800000,20,L,6,KONVEN
UL.000459,P,10/08/1976,21000000,22,L,5,KONVEN
UL.000238,L,15/12/1961,235400000,39,L,6,KONVEN
UL.000467,L,31/12/1971,40700000,25,L,6,KONVEN
UL.000307,L,13/12/1962,47400000,15,L,6,KONVEN
UL.000348,P,10/03/1970,24000000,12,L,6,KONVEN
UL.000456,L,08/02/1974,34100000,24,L,6,KONVEN
